,Hospital,State,City,LocalAddress,Pincode,Hospital Type,Hospital Ownership,User Ratings(out of 5)
656,Bangalore Baptist Hospital,Karnataka,Bangalore,"Bellary Road, Hebbal, Bangalore-560024, Opp University Of Agricultural Sciences (Near Hebbal Flyower)",560024,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.2
657,Bangalore Eye Hospital & Retina Centre,Karnataka,Bangalore,"4C,426 4Th Cross, 2Nd Block,Kalyannagar.",560043,Dental Clinic,Government,3.7
658,Bangalore Nethralaya Super Speciality Eye Hospital,Karnataka,Bangalore,"#946,21St Main, Near Bda Complex,Banashankari ,2Nd Stage",560070,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.2
659,Bangur Medicare Research Institute,West Bengal,Kolkata,"No.8A,Diamond Harbour Road,24 Parganas(S),3A Bus Stand-Thakurpukur,",700063,"ENT Clinic -Ear, Nose, and Throat",Private,4.8
660,Bani Park Hospital( Heart. Eecp & Multispecialty),Rajasthan,Jaipur,"D-9, Kabir Marg, Bani Park, Jaipur",302016,General Hospital,Government,3.1
661,Bankers Heart Institute,Gujarat,Baroda,"Near Tagorenagar,Old Padra Road,Opp Suryakiran Building,",390015,Pediatric Hospital,Private,4.4
662,Bankura Nursing Home,West Bengal,Bankura,"Patpur,Bankura",722101,Eye Hospital or Ophthalmology Clinic,Private,4.2
663,Bansal Hospital & Research Centre Pvt Ltd,Delhi,Delhi,"3590, Bajar Sitaram, Delhi",110006,"ENT Clinic -Ear, Nose, and Throat",Government,3.4
664,Bansal Hospital And Research Centre,Rajasthan,Jaipur,"#4, Janakpuri-1St, Imli Phatak.",302005,Eye Hospital or Ophthalmology Clinic,Private,4.9
665,Bansal Hospital(A Unit Of Namedi Hospitalpvt Ltd,Delhi,Delhi,"No.A-1,New Friend'S Colony,",110065,Cardiology Center,Proprietary,4.9
666,Bansal Nursing Centre (A Unit Of Pahari Mata Medical (P) Ltd),West Bengal,Howrah,"# 20, Dobson Road,Howrah-711101.",711101,General Hospital,Government,3.9
667,Bapat Hospital,Madhya Pradesh,Indore,"Ahd-30, Sukhlia",452010,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.5
668,Bappu Clinic & Nursing Home,Tamilnadu,Chennai,"#46, Kalaingar Main Road,Srinivasa Nagar, Perungalatur,",600063,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.7
669,Baptist Christian Hospital,Assam,Sonitpur,"Mission Chariali, 4 Corps Army Battalion. Tezpur",784001,Eye Hospital or Ophthalmology Clinic,Private,4.4
670,Bapuji Maternity & Nursing Home,Andhra Pradesh,Hyderabad,"7-44,Bapuji Nagarnacharam",500076,Orthopedic Hospital or Clinic,Proprietary,3.5
671,Bapuji Nursing Home,Karnataka,Tumkur,"1St Cross, Someshwar Puram,Tumkur-572102.",572102,Pediatric Hospital,Private,4.6
672,Baradkar Hospital & Maternity Home,Maharashtra,Mumbai,"14,A-3,Meera Queen,Opp Laxmi Cars,W.E.Highway,Kashimira,Thane",401107,General Hospital,Private,4
673,Bardia Hospital,Maharashtra,Amravati,"Paratwada, Amravati,Opp. S.T. Stand.",444805,Pediatric Hospital,Proprietary,3.4
674,Bareja Hospital,Haryana,Faridabad,"Main Road, Fatehpur Billoch,Ballabgarh",121004,Cardiology Center,Voluntary non-profit ,4.7
675,Bargachia Nursing Home,West Bengal,Howrah,"Bargachis, J.B.Pur, Opp Petrol Pump.",711404,Eye Hospital or Ophthalmology Clinic,Government,3.5
676,Baroda Heart & Multispeciality Hospital,Gujarat,Bharuch,"71 To 91,Capital Business Centre,Upper Ground Floor,Wing B,Panchbatti Oppcentral Bank Of India,Station Road,",392001,Orthopedic Hospital or Clinic,Government,4.3
677,Baroda Heart Institute And Research Centre,Gujarat,Baroda,"44, Haribhakti Colony, Race Course,Vadodara",390007,Cancer Treatment Center or Oncology Hospital,Proprietary,4.3
678,Barrackpore Medicare & Recovery Centre Ltd,West Bengal,Titagarh,"No.6/6,B.T.Road,Talpukur,Titagarh,24-Parganas(North)",700123,Cardiology Center,Government,4.8
679,Barsa Nursing Home,Orissa,Kendrapada,"By Pass Square, Pattamundai",754215,Cardiology Center,Proprietary,4.1
680,Barthakur Clinic Pvt Ltd,Assam,Guwahati,Karghuli Road Kharghuli,781028,Maternity Hospital or Birthing Center,Proprietary,4.7
681,Basant Sahney Hospitals.,Andhra Pradesh,Secunderabad,"#253,Nehru Nagar,Road No.11,West Marredpally,K.Konda Reddy Street,Secunderabad,",500026,General Hospital,Proprietary,4.1
682,Basappa Memorial Hospital,Karnataka,Mysore,"22-B, Vinobha Road, Mysore-570012",570012,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.2
683,Basappa Multispeciality Hospital,Karnataka,Chitradurga,"Basapa Hospital Building,Turuvanur Road,",577501,Cardiology Center,Proprietary,4.7
684,Basavanagudi E.N.T. Care Centre,Karnataka,Bangalore,"44/1, H.B. Samaja Road, Basavanagudi",560004,"ENT Clinic -Ear, Nose, and Throat",Government,4.2
685,Basavangudi Medical Centre,Karnataka,Bangalore,"84/1, R.V. Road, Basavanagudi,Bangalore-560004.",560004,Orthopedic Hospital or Clinic,Private,3.3
686,Basavatarakam Indo American Cancer Hospital & Research Institute,Andhra Pradesh,Hyderabad,"Road No 14, Banjara Hills, Hyderabad-500034",500034,Dental Clinic,Voluntary non-profit ,3.8
687,Bassi Nursing Home Pvt Ltd,Punjab,Ludhiana,"B-970,Nea Dhubighat,Rajpura Road",141001,"ENT Clinic -Ear, Nose, and Throat",Proprietary,4.1
688,Batalia Eye Hosptial,Madhya Pradesh,Jabalpur,"Dr. Batalia Road, Near Clock Tower",482001,Dental Clinic,Proprietary,4.4
689,Batra Hospital,Delhi,Delhi,"1 ,Tughkalabad Institutional Am.B Road",110062,Pediatric Hospital,Private,3.4
690,Batra Hospital,Gujarat,Baroda,"112-116,Chaturbhai Park Sangam Warasia Ring Road",390006,Cardiology Center,Voluntary non-profit ,4.9
691,Batra Hospital,Madhya Pradesh,Bhopal,"#17, Zone-1, Mp Nagar",462011,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.8
692,Bavishi Eye Hospital,Gujarat,Ahmedabad,"# 1, Tapovan Society, S.N. Road, Ahmedabad-380015",380015,Dental Clinic,Government,3.3
693,Bavishi Hospital,Gujarat,Ahmedabad,"Opp Manjulal Municipal Garden,Near Adani Cng Pvmp Station",380007,Eye Hospital or Ophthalmology Clinic,Proprietary,4.2
694,Bawa Hospital Pvt Ltd,Punjab,Ludhiana,"Near Old Dandi Swami Mandir, Civil Lines",141001,Cancer Treatment Center or Oncology Hospital,Private,3.5
695,Bay View Clinic,Maharashtra,Mumbai,"3/3A, M. Parmanand Road,Mumbai-400004,",400004,"ENT Clinic -Ear, Nose, and Throat",Private,4.2
696,Bbc Heart Care Pruthi Hospital,Punjab,Jallandhar,"301, Lajpat Nagar, Jalandhar.Punjab.",144001,Pediatric Hospital,Private,3.4
697,Be Well Hospitals Pvt Ltd,Tamilnadu,Pondicherry,"No. 15, Lawspet, Green Garden, Ecr, Pondicherry, Shenbaga Motors (Maruthi Show Room)",605008,Orthopedic Hospital or Clinic,Government,4.1
698,Beams Hospitals Privated Limited,Karnataka,Bangalore,"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala, Bengaluru-560034",560034,Cardiology Center,Government,4.5
699,Beams Hospitals Pvt Ltd-Amritsar,Punjab,Amritsar,"29-B, Race Course Road, Amritsar, Punjab-143001",143001,Orthopedic Hospital or Clinic,Government,3.1
700,Beams Hospitals Pvt Ltd. Hyderabad,Andhra Pradesh,Hyderabad,"Plot No. 99, Road No-1, Jublee Hills, Hyderabad-500033",500033,Pediatric Hospital,Proprietary,3.7
701,Beas Hospital,Himachal Pradesh,Kullu,"The Mall,Dhalpurdhacpur",175101,Pediatric Hospital,Proprietary,3.9
702,Behera Nursing Home,Orissa,Bargarh,"National Highway # 6, Bargarh, Infront Of R.T.O",768028,Eye Hospital or Ophthalmology Clinic,Government,4.8
703,Behl Hospital,Delhi,Delhi,"B-128, Naraina Viahar",110028,General Hospital,Private,4.6
704,Bejan Singh Eye Hospital Pvt Ltd,Tamilnadu,Kanyakumari,"No.2/1,313C,M.S.Road,Vettoornimadam,Nagercoil,",629003,Dental Clinic,Government,4.4
705,Belaku Eye Hospitals Pvt Ltd,Karnataka,Kengeri Upanagara,"#769, 1St Cross, Ring Road, Kengeri Upanagar, Bangalore-560060Kengeri Upanagara",560060,Cardiology Center,Government,4.7
706,Belgaum Cancer Hospital Pvt Ltd,Karnataka,Belgaum,"#9666A-2/D,Ashok Nagar, Belgaum-590010",590010,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.2
707,Belgaum Children'S Hospital Pvt Ltd,Karnataka,Belgaum,"1St Floor,Samsukha Complex,Khade Bazar",590001,Cancer Treatment Center or Oncology Hospital,Private,4.1
708,Belle Vue Nursing Home,Maharashtra,Mumbai,"Sejal, 1St Floor, New Link Road Off Veera Desai Road Andheriroad, Versova, Andheri(W)",400058,Dental Clinic,Voluntary non-profit ,4.2
709,Belle Vue'S Cambridge Hospital,Karnataka,Bangalore,"18/17, Cambridge Road, Ulsoor, Bangalore-560008",560008,Cancer Treatment Center or Oncology Hospital,Proprietary,3.3
710,Bellona Nursing Home And Diagnostic Centre Private Limited,West Bengal,Kolkata,"51 A, Diamond, Harbour Road, Mominpur Crossing.",700027,Maternity Hospital or Birthing Center,Proprietary,3.7
711,Belokar Hospital,Maharashtra,Amravati,Vijay Colony Rukhmini Nagar,444606,Cancer Treatment Center or Oncology Hospital,Government,4.4
712,Bembde Hospital,Maharashtra,Aurangabad,"14, Beed By Pass Road, Near Shahanoorwadi Rly Crossing, Satara Parisar, Aurangabad, Maharashtra",431005,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.5
713,Benaka Health Centre,Karnataka,Ujjire,"Lhh Road,Near Jyothi Takies,Mangalore-575003",574240,Maternity Hospital or Birthing Center,Private,3.9
714,Bendre Hospital And Maternity Home,Maharashtra,Ahmednagar,"7375,Deshmukhwadi,Sarjapura",414001,Orthopedic Hospital or Clinic,Proprietary,3.8
715,Bensups Hospital,Delhi,New Delhi,"Bensups Avenue,Sector-12, Dwarka Metro Station",110075,"ENT Clinic -Ear, Nose, and Throat",Proprietary,3.9
716,Benuban Health Care & Diagnostic Centre,West Bengal,Howrah,"Bultikuri,Near Japani Gate Esi Hospital",711113,Dental Clinic,Government,3.1
717,Benzer Nursing Home,Maharashtra,Mumbai,"2Nd Cross Road,Lokhandwala Complex,Andheri West",400053,Eye Hospital or Ophthalmology Clinic,Private,3.5
718,Beri Maternity Centre,Punjab,Amritsar,"G.T.Road Putlighar,Amritsarganga",143001,Dental Clinic,Private,3.5
719,Bethany Hospital,Maharashtra,Mumbai,"Next To Glaxo,Opp. Ma Niketan,",400610,Orthopedic Hospital or Clinic,Private,3.8
720,Bethel Hospital (P) Ltd,Tamilnadu,Coimbatore,"# 223, Dr. Rajendra Prasad Road.",641012,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.9
721,Better Health Pvt Ltd,Gujarat,Ahmedabad,"Pallav J.M. Desai Memorial Hospital, Maninagar East.",380008,Psychiatric Hospital or Mental Health Clinic,Government,4.1
722,Better Sight & Research Centre,Maharashtra,Mumbai,"Sector 7,B/29-004,Shantivagar,Mira Road East,Thane",401107,Cardiology Center,Government,4.8
723,Bgm Hospital,Tamilnadu,Madurai,"1/249,New Nathan Road,Iyyer Bungalow",625014,"ENT Clinic -Ear, Nose, and Throat",Proprietary,3.5
724,Bgs Global Hospital,Karnataka,Bangalore,"#67,Uttarahalli Road,Kengeri",560060,Cancer Treatment Center or Oncology Hospital,Government,4.4
725,Bhadra Nursing Home,Karnataka,Bhadravathi,Gandhinagar,577301,General Hospital,Private,3.1
726,Bhagat Chandra Hospital (A Unit Of Bhagat Hospitals (P) Ltd.),Delhi,New Delhi,"Rz-F1/1, Mahavir Enclave, Near Dwarka Airport Flyover, New Delhi.",110045,Cancer Treatment Center or Oncology Hospital,Proprietary,3.4
727,Bhagat Hospital,Delhi,Delhi,"D-2/48-49, Janakpuri, New Delhi",110059,Cardiology Center,Private,4.2
728,Bhagat Nursing Home,Maharashtra,Mumbai,Ganesh Nivas 2Nd Floorpai Nagar,400092,"ENT Clinic -Ear, Nose, and Throat",Government,3.8
729,Bhagavathi Multi Speciality Hospital,Karnataka,Hsr Layout,"L-168, 6Th Sector, Hsr Layout, Bangalore-560102",560102,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.8
730,Bhagawati Netralaya,Maharashtra,Pune,Manik Chowk Chakan Tal Khed,410501,Eye Hospital or Ophthalmology Clinic,Government,4.2
731,Bhagirathi Hospital,Orissa,Dhenkanal,"Hanuman Bazar,Kamakshyanagar",759018,General Hospital,Private,3.7
732,Bhagwan Mahaveer Cancer Hospital And Research Centre,Rajasthan,Jaipur,"Jawaharlal Nehru Marg, Near Saras Dairy.",302017,Eye Hospital or Ophthalmology Clinic,Proprietary,4.3
733,Bhagwan Mahaveer Darshan Eye Hospital,Karnataka,Mysore,"Opp. K.R. Mills, Mysore Bangalore Road, Siddalingapura, Mysore-570003",570003,Pediatric Hospital,Government,4.4
734,Bhagwan Mahaveer Eye Hospital,Tamilnadu,Chennai,"# 142, M.S. Koil Street, Royapuram.",600013,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,3.6
735,Bhagwan Mahaveer Jain Heart Centre( A Unit Of Srinivasa Cardiology Centre Pvt Ltd),Karnataka,Bangalore,"#8,Millers Tank Bund Road Near Cantonment Railway Station",560052,Eye Hospital or Ophthalmology Clinic,Government,3.3
736,Bhagwan Mahaveer Jain Hospital,Karnataka,Bangalore,"No.17, Millers Road, Vasanthnagar, Bangalore-560052",560052,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,4.9
737,Bhagwan Mahaveer Jain Netralaya,Karnataka,Bangalore,"#3, Railway Platform Road,Sheshadripuram, Policestation Opp. Roadsheshadripuram",560020,Psychiatric Hospital or Mental Health Clinic,Private,3.5
738,Bhagwan Mahavir Hospital,Delhi,Delhi,"Sector-14, Ext., Rohini, Madhuban Chowk.",110085,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.9
739,Bhagwat Maternity And Nursing Home,Karnataka,Shimoga,"Court Road,Sagar",577401,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.6
740,Bhagwati Healthcare Pvt Ltd,Maharashtra,Ulhasnagar,"Plot # 2, Rameshwadi, Kulgaon Badlapur Road, Badlapur West",421503,Cancer Treatment Center or Oncology Hospital,Private,4
741,Bhagwati Hospital,Delhi,Delhi,"Cs/Ocf 6 , Sector 13 Rohininear Printers Apt",110085,Pediatric Hospital,Proprietary,4.3
742,Bhagwati Urology Hospital,Gujarat,Jamnagar,"Amrish Complex,4Th Floor,Gurudwara Road, Indira Marg.",361001,Cardiology Center,Proprietary,3.8
743,Bhagyoday Tirth Hospital,Madhya Pradesh,Sagar,Khurai Road,470002,Eye Hospital or Ophthalmology Clinic,Government,4.1
744,Bhagyojaya Hospital,Maharashtra,Baramati,Indapur Road,413102,"ENT Clinic -Ear, Nose, and Throat",Private,3.6
745,Bhailal Amin General Hospital,Gujarat,Baroda,Bhailal Amin Marg Gorwabaroda,390003,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.5
746,Bhakti Hospital,Maharashtra,Pune,"Pune Nagar Road,Sanaswadi Chowk",412208,Maternity Hospital or Birthing Center,Government,4.4
747,Bhaktivedanta Hospital,Maharashtra,Mumbai,"Sector-1, Srishti Complex, Mirthane",401107,Dental Clinic,Private,4
748,Bhalerao Ent Hospital,Maharashtra,Pune,"Ganaraj Complex,2Nd Floor,# 3,Near Mahaslkant Chowk,Akurdi",411035,Psychiatric Hospital or Mental Health Clinic,Government,4
749,Bhandari Hospital,Rajasthan,Jodhpur,"204, Ligh,",342008,Orthopedic Hospital or Clinic,Government,4.7
750,Bhandari Hospital & Research Centre,Madhya Pradesh,Indore,"Gf-21,22,23 Scheme # 54, Vijay Nagar",452014,Maternity Hospital or Birthing Center,Government,4.7
751,Bhandari Hospital & Research Centre(A Unit Of Bhandari Health Care Pvt .Ltd),Rajasthan,Jaipur,"138-A, Vasundhara Colony,Gopalpura By-Pass,Tonk Road,Gopalpura By-Pass, Tonk Road,",302018,Cancer Treatment Center or Oncology Hospital,Private,5
752,Bhandari Maternity & Nursing Home,Maharashtra,Pune,"5,Dhanlaxmi Society,Sinhagad Road",411051,"ENT Clinic -Ear, Nose, and Throat",Government,3.4
753,Bhandari Polyclinic Pvt Ltd,Madhya Pradesh,Jabalpur,"#659, Napier Town,",482001,Eye Hospital or Ophthalmology Clinic,Proprietary,4.7
754,Bhanu Nursing Home,Karnataka,Bangalore,"69/5B, Bommanahalli, Hosur Rd,Bangalore",560068,Cancer Treatment Center or Oncology Hospital,Government,4.3
755,Bharani Paventhan Multi Speciality Hospital,Tamilnadu,Erode,"74, Sampath Nagar Erode Tamilnadu",638011,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,3.8
756,Bharat Hospital And Research Centre,Madhya Pradesh,Jabalpur,"Patrakar Colony, Near Ranital Chowk",482002,"ENT Clinic -Ear, Nose, and Throat",Government,3.3
757,Bharat Surgical & Maternity Centre,Punjab,Barnala,"Handiaya Road, 5 No Street.",148101,Pediatric Hospital,Voluntary non-profit ,3.4
758,Bharat Vikas Parishad Hospital Research Centre,Rajasthan,Kota,"Pratapnagar, Dada Bari.",327008,Cardiology Center,Private,4.8
759,Bharath Hospital,Kerala,Kottayam,"Azad Lane ,Thirunakkara",686001,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.3
760,Bharath Hospital,Tamilnadu,Chennai,"# 72, I St Main Road,Nanganallur",600061,Orthopedic Hospital or Clinic,Government,5
761,Bharath Hospital & Institute Of Oncolgy,Karnataka,Mysore,"# 438, Outer Ring Road, Hebbal.",570017,Cancer Treatment Center or Oncology Hospital,Proprietary,3.3
762,Bharath Nursing Home,Karnataka,Bangalore,"# 1402, Near Vegitable Market, J.P Nagr 1St Phase, Bangalore-560078Kanakapura Main Road.",560078,Cancer Treatment Center or Oncology Hospital,Proprietary,4
763,Bharath Rural Hospital & Training Centre,Kerala,Ernakulam,"Kuriapilly,Moothakunnam",683516,Orthopedic Hospital or Clinic,Government,4.1
764,Bharathi Hospital,Andhra Pradesh,Kadapa,"1/82, R.S. Road, Kadapa-516001",516004,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4.9
765,Bharathi Hospital,Andhra Pradesh,Vizag,"14-24-1, Men'S Hostel Road, Maharanipet, Visakhapatnam-530002",530002,Maternity Hospital or Birthing Center,Voluntary non-profit ,4
766,Bharathi Hospital,Karnataka,Channarayapatna,Dr.Bharathi Ravindranath Bajab Soaw Room,573116,Eye Hospital or Ophthalmology Clinic,Government,3.8
767,Bharathi Hospital,Karnataka,Tumkur,"4Th Cross,Barkline Road, K.R. Extension, 4Th Cross, Tumkur-572101",572101,Maternity Hospital or Birthing Center,Private,3.4
768,Bharathi Hospital,Tamilnadu,Virudhunagar,"# 592/2,Sri Renga Palayam,Rajapalayam",626117,Dental Clinic,Proprietary,3.2
769,Bharathy Hospital,Karnataka,Bangalore,"#4,Nagarabhavi Main Road,Prashanth Nagar",560079,Cancer Treatment Center or Oncology Hospital,Proprietary,4.1
770,Bharatiya Arogya Nidhi Sheth Kantilal C. Parikh General Hospital,Maharashtra,Mumbai,"N.S.Road.No.13, Jupds, Mumbai, Maharashtra",400049,"ENT Clinic -Ear, Nose, and Throat",Private,3.4
771,Bhardwaj Hospital,Uttar Pradesh,Noida,"Nh-1, Sector-29,Gautam Budh Nagar",201301,Orthopedic Hospital or Clinic,Proprietary,4.8
772,Bhardwaj Nursing Home,Andhra Pradesh,Warangal,"Beside Bus Stand,Rtc,Thorrur,",506163,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4.1
773,Bhargava Hospital,Uttar Pradesh,Kanpur,"15/263, Civil Lines, Kanpur",208001,Psychiatric Hospital or Mental Health Clinic,Government,3.7
774,Bhargava Hospital & Research Centre,Rajasthan,Jhalawar,"Kohli Mohalla Jhalrapatan,Jhalawar",326023,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4.4
775,Bhargava Nursing Home,Chattisgarh,Bilaspur,"Magarpara Road,",495001,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,5
776,Bhargava Nursing Home,Maharashtra,Mumbai,"Gopal Bhuvan, Tagore Road, Santacruz(W), Mumbai",400054,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.3
777,Bharti Eye Foundation,Delhi,Delhi,"1/3,East Patel Nagar,Newdelhi",110008,Maternity Hospital or Birthing Center,Private,3.4
778,Bhartiya Maternity & Nursing Home,Maharashtra,Aurangabad,"3-12-65,Raja Bazar Jinsi Road",431001,General Hospital,Proprietary,3.1
779,Bhartiya Maternity & Nursing Home Pvt Ltd,Maharashtra,Aurangabad,"#27,Manjeet Nagar,Opp Akashwani Chowk Jalna Road",431001,General Hospital,Proprietary,4
780,Bharucha Hospital,Gujarat,Baroda,"Anjana Park Complex,Subhanpura Main Road",390023,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,4
781,Bhaskara Hospital,Andhra Pradesh,Hyderabad,"Shapurnagar Main Road,Near Sai Bhavani Hospital",500055,Psychiatric Hospital or Mental Health Clinic,Private,4
782,Bhaskara Hospital,Andhra Pradesh,Rangareddy,"Hno-C-11-13-154/1/1,Road#1,Dwarakanagar Colony,Saroornagar,Ranga Reddy",500035,Cancer Treatment Center or Oncology Hospital,Proprietary,4.8
783,Bhate Hospital And Maternity Home Chikodi,Karnataka,Belgaum,"#1243, Basaveshwar Circle, Chikodi, Belgaum-591201",591201,Orthopedic Hospital or Clinic,Private,4.7
784,Bhatia General Hospital,Maharashtra,Mumbai,"Tukaram Javji Road, Tardeo, Mumbai, Maharashtra",400007,General Hospital,Government,4.1
785,Bhatia Global Hospital & Endosurgery Institute,Delhi,Delhi,"307 &308, Ambica Viharpaschim Vihar",110087,Pediatric Hospital,Government,3.3
786,Bhatia Orthopaedic & Maternity Nursing Home,Haryana,Faridabad,"# 390-Sector 7B, Faridabaddelhi",121006,Maternity Hospital or Birthing Center,Government,4.5
787,Bhatiya Hospital,Maharashtra,Jalgaon,"'Dwarka'Deshpande Lane,Main Road,Chopda",425107,Eye Hospital or Ophthalmology Clinic,Government,4
788,Bhatti Eye Clinic,Maharashtra,Mumbai,"# 22, Amar Mansion,Sion Trombay Road, Mumbai.",400088,Orthopedic Hospital or Clinic,Private,3.9
789,Bhavana Nursing Home,Karnataka,Anekal,Mysore Bank Road,562106,Pediatric Hospital,Private,3.7
790,Bhavsar Surgical & Maternity Hospital,Gujarat,Godhra,"Near Church, Panjera Pole, Above Bombay Cold Drinks Medaopp.Bank Of Baroda",389001,Eye Hospital or Ophthalmology Clinic,Proprietary,4.7
791,Bhavya Hospital,Andhra Pradesh,Hyderabad,"Plot No.65,Road No.5,New Samathapuri Colony,Na",500035,Dental Clinic,Voluntary non-profit ,4.4
792,Bhide Hospital,Maharashtra,Pune,"# 18, Laxmi Park, Navi Pethnavi Peth, Pune-411030.",411030,Psychiatric Hospital or Mental Health Clinic,Private,4.9
793,Bhimavaram Hospitals Ltd,Andhra Pradesh,Tadepalligudam,J.P. Road Bhimavaramwest Godavary,534204,Dental Clinic,Voluntary non-profit ,3.1
794,Bhola Hospital,Haryana,Kurukshetra,"Railway Road, Kurukshetra",136118,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,5
795,Bhola Hospital,Uttar Pradesh,Allahabad,"# 12/13, Lowther Road,Dar Bhanga Colony,Darbhanga Colony, Allahabad.",211002,Cardiology Center,Private,4.9
796,Bhopal Charitable Hospital,Madhya Pradesh,Bhopal,"Noor Mahal Road,Chowki Imambadachowki Imambaba, Bhopal-462001",462001,Eye Hospital or Ophthalmology Clinic,Private,4.4
797,Bhopal Eye Hospital,Madhya Pradesh,Bhopal,"# 29, Rajdev Colony, Barasia Road",462001,Maternity Hospital or Birthing Center,Private,3.9
798,Bhopal Heart & General Hospital,Madhya Pradesh,Bhopal,"H3 B Sector, Sonagiri",462021,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,3.2
799,Bhubaneswar Medical Research Institute & Nursing Home,Orissa,Bhubaneswar,"Plot #-1,Bda District Centre,Chandrasekharpur",751016,Eye Hospital or Ophthalmology Clinic,Government,4.9
800,Bhupal Hospital & Research Centre,Uttar Pradesh,Meerut,"#159, College Road, Adjacent To Ganaga Plaza.",250002,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,3.6
801,Bibi Ayesha Mili Hospital,Karnataka,Bangalore,"242, Old Mysore-Bangalore Rd,Mysore",570015,Psychiatric Hospital or Mental Health Clinic,Government,3.9
802,Bibi General Hospital & Cancer Centre,Andhra Pradesh,Hyderabad,"16-3-991/1/C Govt Printing Press, Marketgovt. Printing Press Road",500024,General Hospital,Government,3.7
803,Bikaner Nursing Home,Rajasthan,Bikaner,Pawan Puri,334003,Maternity Hospital or Birthing Center,Government,4
804,Bilagi Hospital & Research Centre,Karnataka,Hubli,Opp Nehru Stedium Main Gate,580020,Eye Hospital or Ophthalmology Clinic,Proprietary,4.2
805,Billroth Hospital Limited,Tamilnadu,Chennai,"#43, Lakshmi Takis Rd,Shenay Nagarshenoy Nagar, Chennai",600030,Psychiatric Hospital or Mental Health Clinic,Proprietary,3.8
806,Billroth Hospitals - Ra Puram,Tamilnadu,Chennai,"#52, 2Nd Main Road, Raja Annamalai Puram,Raja Annamalai Puram",600028,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,4
807,Bilva Hospital,Karnataka,Guttahalli,"No. 21, 22, 2Nd Main Palace Guttahalli, Bangalore-560003, Near Vinayaka Circle",560003,Orthopedic Hospital or Clinic,Proprietary,3.4
808,Bimal Hospital,Delhi,Nangloi,"17/1,Near Bhuto Wali Gali",110041,General Hospital,Private,4.2
809,Bimla Devi Hospital,Delhi,Delhi,"# 5, Pocket B, Ocf Mayur Vihar Phase Iiphase-11, Delhi-110091.",110091,Pediatric Hospital,Voluntary non-profit ,4.4
810,Bindu Nursing Home,Maharashtra,Pune,"Sudarshan Nager,Chinchwad",411033,Dental Clinic,Government,4.1
811,Bindubasini Nursing Home,West Bengal,North24Paraganas,"76, Madhusudan Banerjee Road, Birati",700051,Pediatric Hospital,Proprietary,3.3
812,Birajdar Hospital,Maharashtra,Solapur,"Ninali Vasti Road, Solapur,Maharashtra-413001",413001,General Hospital,Government,5
813,Birati Nursing Home Pvt Ltd,West Bengal,Kolkata,"No.2,Gopal Jew Mandir Road,Birati,24 Parganas(North),",700051,"ENT Clinic -Ear, Nose, and Throat",Government,3.6
814,Birmole Hospital,Maharashtra,Raigad,"No.118/1,Cuf Road,Cuf Nagar,Panvel,Opp Royal Cosmo Club",410206,Psychiatric Hospital or Mental Health Clinic,Private,4.4
815,Bishop Alapatt Mission Hospital,Kerala,Cochin,Karanchira Kattoor P.O,680702,Eye Hospital or Ophthalmology Clinic,Proprietary,3.8
816,Bishop Benziger Hospital,Kerala,Kollam,Beach Road Kollam-691001,691001,Eye Hospital or Ophthalmology Clinic,Proprietary,3.2
817,Blk Memorial Hospital,Delhi,Delhi,"Pusa Road,Near Rajendra Place Metro Station",110005,Cancer Treatment Center or Oncology Hospital,Private,3.3
818,Bobade Accident Hospital,Maharashtra,Baramati,"Bobade Accident Hospital, Baramati",413102,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4.9
